energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin-a_100g,vitamin-c_100g,calcium_100g,iron_100g,score
870.0,0.1,0.1,0.0201058201058201,0.0057978795698924,51.3,50.0,3.625,0.1,0.1016,0.04,0.0005252545824847,0.0379924528301886,0.1864866863905325,0.0028985382631126,0
422.0,5.6,2.5,0.4584681769147788,0.001422198429693,4.5,0.8,1.4,7.5,0.762,0.3,0.0001371577287066,0.0248389830508474,0.12,0.0087039506172839,3
232.0,0.2,0.05,0.0043773062730627,0.0108808808808808,12.0,9.8,1.7,0.4,0.006,0.0023622047244094,0.0001692687659574,0.014,0.0444126984126984,0.0015260869565217,4
899.0,8.1,0.8,0.0,0.0019942196531791,25.0,2.9,3.2,8.9,1.7,0.669291338582677,0.0007028571428571,0.0447715736040609,0.12,0.0059927540500736,3
883.0,12.0,3.6,0.1530249110320284,0.0004647058823529,19.0,3.3,0.0,8.1,0.77,0.303149606299213,0.000274709090909,0.0263835616438356,0.5712777777777778,0.0109378830083565,2
1168.0,18.5,11.1,0.4343434343434342,0.0,23.8,19.5,1.7,3.9,0.1524,0.06,0.00028,1.2296698762035768e-05,0.253448275862069,0.0027120171673819,1
578.0,5.2,1.3,0.0175738007380073,0.0,16.4,2.2,2.3,5.2,0.699999999999999,0.275590551181102,0.0003493770985794,0.0132103004291845,0.1988859416445623,0.0080164102564102,4
162.0,1.5,0.4,0.0176366120218579,0.0,3.9,2.4,1.4,1.7,0.5588,0.22,0.0002473706414119,0.021075,0.1776344086021505,1.9735496688741725,4
843.0,6.01,2.03,0.1420765027322404,0.0076994594594594,27.8,5.87,1.54,8.04,1.05,0.413,7.458992805755396e-05,0.0081035971223021,0.1464406779661017,0.001841304347826,3
648.0,0.0,0.0,0.0023276633840644,0.0,38.0,34.0,0.0,0.0,1.0,0.393700787401575,5.815384615384616e-05,0.0419825072886297,0.2608536585365854,0.0060390946502057,1
276.0,1.6,0.3,0.0,0.0,1.9,1.9,1.0,10.0,0.73,0.28740157480315,0.0001551226158038,0.0105841995841995,0.12,0.0026942528735632,4
353.0,2.4,0.3,0.3981575037147102,0.0018254817987152,5.5,3.3,0.1,10.0,1.1,0.433070866141732,6.153684210526315e-05,0.0085726315789473,0.12,0.0010515789473684,3
2184.0,59.0,22.0,1.0,0.0071635135135135,0.0,0.0,0.0,0.0,0.4,0.15748031496063,0.0002344837988826,2.859697386519945e-05,0.5291353383458647,0.0091590792838874,1
2350.0,36.8,14.3,0.48,0.02175,48.3,44.9,7.4,6.4,0.01,0.0039370078740157,0.0004978924418604,0.0614098837209302,0.3261280931586608,0.0049127906976744,0
721.0,9.1,4.0,0.4900215749730312,0.0015265881513204,16.0,2.1,1.5,6.2,0.66,0.259842519685039,0.000129406940063,0.0139322033898305,0.1999999999999999,0.0083861728395061,3
1898.0,21.0,2.0,0.0712623097582811,0.0080089315249751,59.0,29.0,2.0,6.0,0.7874,0.31,0.0007695360110803,0.0557586206896551,0.8026666666666666,0.0127156862745098,1
2044.0,22.6,2.5,1.0,0.0003245614035087,60.0,6.2,4.3,9.0,1.6,0.62992125984252,0.0001215599534342,0.0201219512195121,0.1377237851662404,0.006336,2
176.0,0.1,0.0,0.0020081967213114,0.0,6.2,4.6,1.7,3.2,0.14,0.0551181102362205,0.0009105807127882,0.025974609375,0.12,0.0034483591331269,4
1066.0,9.2,7.8,0.0607932379713914,0.0,39.7,27.9,0.0,2.6,0.150114,0.0591,0.0002566187989556,0.0459892588614393,0.3327323943661971,0.0158533333333333,1
400.0,1.4,0.5,0.2941176470588235,0.0204778067885117,0.8,0.0,1.5,18.8,2.1,0.826771653543307,0.0002698010610079,0.0262934362934362,0.2403589743589743,0.0078628099173553,2
93.0,0.4,0.1,0.4533441208198489,0.0014052462526766,2.9,0.5,0.4,1.5,1.27,0.5,0.0001384164037854,0.0266101694915254,0.12,0.0087555555555555,3
2100.0,24.0,9.0,0.0430429128738621,0.0038496993987975,58.0,20.0,4.5,11.0,0.508,0.2,0.0002292950391644,0.0426736703873933,0.9787042253521128,0.0023,1
1541.0,34.3,12.0,0.2688741721854305,0.0550999999999999,0.0,0.0,0.0,16.0,1.4,0.551181102362205,0.000216,0.0096947674418604,0.3041477832512315,0.0021491071428571,0
412.0,1.6,0.2,0.0084711779448621,0.0124195804195804,17.0,2.5,2.4,2.6,0.88,0.346456692913386,6.40126382306477e-05,0.0337333333333333,0.1183982683982683,0.0044018436123348,3
182.0,0.1,0.1,0.008570110701107,0.0017817817817817,75.0,7.0,1.5,2.8,0.15,0.0590551181102362,0.0003357142857142,0.0135369439071566,0.12,0.0036516804407713,4
891.0,18.0,8.0,0.0077373211963589,0.0223486973947895,1.6,1.4,0.7,12.0,1.5,0.590551181102362,0.0001749477806788,0.0255600787918581,0.6326585365853659,0.007,1
504.0,5.3,2.1,0.1784660766961651,0.0009724310776942,8.7,0.5,1.9,7.8,1.2,0.47244094488189,0.0003635087310826,0.0243636363636363,0.135895061728395,0.007,2
1446.0,1.1,0.1,0.0,0.0604097560975609,73.3,0.3,0.0,8.4,2.5,0.984251968503937,7.886829268292682e-05,0.0,0.4992622950819673,0.0068909374999999,1
781.0,10.0,6.1,1.0,6.683375104427742e-05,15.7,3.5,2.3,7.5,0.8128,0.32,0.00012,0.0378527607361963,0.1563162790697674,0.0037501618122977,2
304.0,2.8,1.9,0.0018032786885245,0.0,7.2,1.9,1.3,4.6,0.43,0.169291338582677,0.0008734423480083,0.0233085937499999,0.1197894736842105,0.0033587306501547,4
271.0,0.5,0.1,0.0153690036900369,0.000960902255639,14.7,13.1,1.3,0.5,0.01,0.0039370078740157,0.0004191325871717,0.0393191489361702,0.3308,0.002381081081081,4
2250.0,31.5,16.5,0.3117647058823529,0.03515625,60.0,59.5,1.3,3.0,0.83,0.326771653543307,0.0003883561046511,0.0478997093023255,0.3115574963609898,0.003831976744186,0
313.0,5.1,0.4,0.0,0.0057844756399669,4.9,4.5,1.6666666666666663,0.8,0.57,0.224409448818898,0.0001232954545454,0.0675532994923857,0.12,0.007,3
1447.0,14.0,8.1,0.2929737827715356,0.0582780748663101,46.7,32.4,0.0,7.0,0.88,0.346456692913386,0.0001585308139534,0.001685465116279,0.1218014059753954,0.0027493401015228,0
2047.0,20.9,14.1,0.1,0.1165638116846284,67.3,25.3,1.5,6.9,0.72,0.283464566929134,0.0003690330477356,0.0497120098039215,0.1416666666666666,0.0236862559241706,0
215.0,0.0,0.0,0.3391454965357967,0.0203637350705754,11.0,10.0,0.6,0.6,0.0,0.0,0.00012,0.01,0.1332916666666666,0.007,2
279.0,1.7,0.2,0.0046494464944649,0.0102902902902902,9.7,1.1,0.9,2.4,0.29718,0.117,0.000169981787234,0.024103448275862,0.0588,0.00104,4
4.0,0.0,0.0,0.0,0.0,2.2,2.2,0.0,0.0,0.0,0.0,2.0588235294117645e-05,0.0029411764705882,0.3385714285714286,0.0077666666666666,2
109.0,0.5,0.0,0.0049446494464944,0.0096496496496496,6.5,6.5,0.0,0.5,0.0,0.0,0.0001707552340425,0.0147096774193548,0.0662314049586776,0.001949853372434,4
2093.0,24.0,9.0,0.1,0.0275270541082164,60.0,22.0,4.0,9.0,0.58,0.228346456692913,0.0001597345517841,0.0207695338148391,0.4249262295081967,0.007,1
450.0,5.0,1.8,0.010230627306273,0.0001233082706766,7.6,1.1,2.3,6.9,1.1,0.433070866141732,0.0005002857142857,0.0337887323943661,0.12,0.0043718592964824,4
350.0,0.1,0.1,0.003210332103321,0.0134134134134134,12.2,11.7,6.1,8.1,0.15,0.0590551181102362,0.0001662112340425,0.0214102564102564,0.11,0.0013403508771929,4
943.0,19.2,9.2,1.0,0.0003053467000835,1.1,1.1,0.0,12.6,0.28,0.110236220472441,0.00012,0.02,0.1351355498721227,0.005968,2
236.0,2.2,0.1,0.0,0.0085962014863748,7.4,5.5,2.3,0.6,0.7366,0.29,0.0006,0.02,0.2294736842105263,0.0074076224489795,3
294.0,0.5,0.2,0.0025046125461254,0.0149449449449449,15.1,13.7,1.3,0.5,0.00762,0.003,0.0001643622127659,0.0305967948717948,0.1274460431654676,0.0065796875,4
2227.0,32.8,30.3,0.3015452538631347,0.0598090909090909,48.6,15.5,1.5,10.3,2.02,0.795275590551181,0.0001621818181818,0.0079021317829457,0.2316059113300492,0.0018627976190476,0
2099.0,23.0,4.0,0.1,0.0274929859719438,65.0,32.0,3.0,7.0,0.381,0.15,0.0001598346388163,0.0208010505581089,0.4210819672131147,0.007,1
1675.0,7.3,3.0,0.684781954887218,0.0090424242424242,66.0,5.9,7.8,14.0,1.4,0.551181102362205,0.0001791575091575,0.0331844827586206,0.0508954773869346,0.0042,2
2304.0,38.0,15.0,0.0367195767195767,0.0078559863799283,44.0,44.0,2.8,8.8,0.25146,0.099,0.0005172606924643,0.0308830188679245,0.1630295857988165,0.0036410146173688,0
