energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin-a_100g,vitamin-c_100g,calcium_100g,iron_100g,nutrition-score-fr_100g,code,score
619.0,21.05,2.8,0.0,0.0,26.32,1.5,0.0,19.0,0.13462,0.053,0.0001578,0.0632,0.0,0.0,-2.0,20001742,4
529.0,0.812,0.375,9.22509225092251e-06,0.0010526315789473,16.0,0.5,0.0,13.0,0.7,0.276,0.0001578241702127,0.0630799145299145,0.0019655172413793,6.666666666666666e-05,-1.0,20001841,4
312.0,0.1,0.0,5.996309963099631e-05,0.0068421052631578,17.0,17.0,1.8,0.3,0.0,0.0,0.0001579571063829,0.0624194444444444,0.0127758620689655,0.0004333333333333,-4.0,20022938,4
968.0,0.9,0.2,0.0001245387453874,0.0142105263157894,47.3,1.6,4.8,7.7,1.524,0.6,0.0001581262978723,0.0615788461538461,0.0265344827586206,0.0008999999999999,-1.0,20069872,4
322.0,0.2,0.1,0.0001522140221402,0.0173684210526315,16.6,16.6,1.2333333333333334,0.9,0.1,0.0393700787401575,0.0001581988085106,0.0612185897435897,0.0324310344827586,0.0010999999999999,-2.0,20103637,4
415.0,2.4,1.03,0.0001752767527675,0.02,12.7,1.4,1.71,6.51,0.726,0.286,0.0001582592340425,0.060918376068376,0.0373448275862069,0.0012666666666666,-1.0,20124830,4
1082.0,4.5,0.5,0.0001983394833948,0.0199499499499499,42.0,3.0,6.5,8.8,1.27,0.5,0.0001583196595744,0.0606181623931624,0.0422586206896551,0.0014333333333333,-2.0,20139131,4
459.0,2.5,0.8,0.0002029520295202,0.0199399399399399,15.5,1.4,2.0,5.1,0.88,0.346456692913386,0.0001583317446808,0.0605581196581196,0.0432413793103448,0.0014666666666666,-1.0,20147563,4
318.0,0.2,0.0,0.0002721402214022,0.0197897897897897,17.0,17.0,1.8,0.4,0.0,0.0,0.0001585130212765,0.0596574786324786,0.0579827586206896,0.0019666666666666,-4.0,20174095,4
676.0,3.9,0.5,0.000290590405904,0.0197497497497497,12.0,1.1,3.8,17.7,1.7,0.669291338582677,0.0001585613617021,0.0594173076923077,0.0619137931034482,0.0021,-1.0,20186746,4
399.0,3.8,1.14,0.0002952029520295,0.0197397397397397,8.11,2.4,2.11,7.2,0.798,0.314,0.0001585734468085,0.0593572649572649,0.0628965517241379,0.0021183006535947,-2.0,20191368,4
586.0,4.5,1.2,0.0003367158671586,0.0196496496496496,19.0,0.8,1.0,8.5,0.508,0.2,0.0001586822127659,0.0588168803418803,0.0717413793103448,0.0022830065359477,-2.0,20231668,4
569.0,3.6,0.7,0.0004520295202952,0.0193993993993994,18.4,2.6,1.5,6.5,1.02,0.402,0.0001589843404255,0.0573158119658119,0.0963103448275862,0.0027405228758169,-1.0,20375423,4
108.0,3.6,0.4,0.0004889298892988,0.0193193193193193,12.5,0.8,1.55,5.5,0.6,0.236220472440945,0.0001590810212765,0.05683547008547,0.1041724137931034,0.0028869281045751,-1.0,20422561,4
840.0,8.8,0.7,0.0005073800738007,0.0192792792792792,18.5,0.8,0.8,11.4,0.635,0.25,0.0001591293617021,0.0565952991452991,0.108103448275862,0.0029601307189542,-2.0,20427634,4
425.0,5.3,0.68,0.0005488929889298,0.0191891891891891,9.0,3.7,3.7,2.8,0.9652,0.38,0.0001592381276595,0.0560549145299145,0.1184482758620689,0.0031248366013071,-6.0,20446284,4
461.0,5.8,0.8,0.0005535055350553,0.0191791791791791,10.6,3.1,3.0,2.5,0.835,0.328740157480315,0.0001592502127659,0.0559948717948718,0.1199310344827586,0.0031431372549019,-3.0,20446307,4
266.0,0.2,0.0,0.0005581180811808,0.0191691691691691,14.0,14.0,1.9,0.3,0.0,0.0,0.0001592622978723,0.055934829059829,0.1214137931034482,0.0031614379084967,-4.0,20446956,4
198.0,0.2,0.0,0.0005719557195571,0.0191391391391391,10.0,10.0,1.9,0.3,0.0,0.0,0.0001592985531914,0.0557547008547008,0.1258620689655172,0.003216339869281,-5.0,20452056,4
260.0,0.1,0.1,0.0005950184501845,0.019089089089089,14.3,13.5,1.0,0.3,0.0254,0.01,0.0001593589787234,0.0554544871794871,0.1332758620689655,0.0033078431372549,-4.0,20458270,4
674.0,10.9,1.9,0.0006595940959409,0.0189489489489489,4.9,0.9,1.5,11.6,0.8001,0.315,0.0001595281702127,0.0546138888888888,0.1540344827586207,0.0035640522875816,-1.0,20534189,4
560.0,0.7,0.2,0.0010516605166051,0.0180980980980981,20.0,0.6,6.6,8.3,0.4318,0.17,0.0001605554042553,0.0495102564102564,0.1592631578947368,0.0036915789473684,-8.0,254560020962,4
575.0,8.0,1.4,0.0010654981549815,0.018068068068068,1.5,0.5,4.1,13.0,1.00076,0.394,0.0001605916595744,0.0493301282051282,0.157,0.0036852631578947,-4.0,259010008101,4
141.0,0.2,0.1,0.0010793357933579,0.018038038038038,4.8,0.1,4.5,1.7,1.18,0.464566929133858,0.0001606279148936,0.04915,0.1556463414634146,0.003678947368421,-1.0,26001517,4
816.0,14.3,2.7,0.0011116236162361,0.0179679679679679,4.7,2.7,1.0,11.7,0.0,0.0,0.0001607125106382,0.0487297008547008,0.1524878048780487,0.0036642105263157,-1.0,26015408,4
406.0,4.8,0.7,0.0011392988929889,0.0179079079079079,9.4,3.6,0.0,2.6,0.84,0.330708661417323,0.0001607850212765,0.0483694444444444,0.149780487804878,0.0036515789473684,-2.0,26019130,4
1482.0,4.0,1.6,0.0011715867158671,0.0178378378378378,65.0,17.5,8.8,9.3,0.01,0.0039370078740157,0.0001608696170212,0.0479491452991453,0.1466219512195122,0.0036368421052631,-2.0,26019611,4
467.0,4.3,1.8,0.0011854243542435,0.0178078078078078,7.5,1.2,2.4,9.5,1.0668,0.42,0.0001609058723404,0.0477690170940171,0.1452682926829268,0.0036305263157894,-2.0,26021102,4
291.0,1.9,0.5,0.0011946494464944,0.0177877877877877,6.7,1.2,3.666666666666667,5.6,0.85,0.334645669291339,0.0001609300425531,0.0476489316239316,0.1443658536585365,0.0036263157894736,-1.0,26021812,4
283.0,0.4,0.2,0.0012546125461254,0.0176576576576576,15.0,13.5,2.1,0.3,0.3,0.118110236220472,0.0001610871489361,0.046868376068376,0.1385,0.003598947368421,-2.0,26041124,4
268.0,0.1,0.1,0.0012638376383763,0.0176376376376376,14.7,14.3,1.1,0.3,0.0254,0.01,0.0001611113191489,0.0467482905982906,0.1375975609756097,0.0035947368421052,-3.0,26041230,4
